Water temperature,Dissolved oxygen,Ammonium,Nitrites,Nitrates,Orthophosphate-phosphorus,Total phosphorus,Sodium,Potassium,Calcium,Magnesium,Chlorides,Sulphates,Iron,Manganese,Zinc,Copper,Chromium,Lead,Cadmium,Mercury,Nickel,Arsenic,Biochemical Oxygen,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),AOX,Atrazine,Cesium,Macrozoobenthos,Total coliforms,Fecal coliforms,"p,p-DDT",gamma-Hexachlorocyclohexane,Bicarbonates,Anionic active surfactants,Total extractable matter,Fecal streptococci ,PAHs,Petroleum hydrocarbons,"Benzo(g,h,i)perylene",Fluoranthene,PCB 52,PCB 153,PCB 101,Benzo(b)fluoranthene,"Indeno(1,2,3-c,d)pyrene",PCB 28,Benzo(k)fluoranthene,Benzo(a)pyrene,PCB 180,PCB 138,Silica (SiO2),alpha-Hexachlorocyclohexane,Dieldrin,"p,p-DDE",Heptachlor,Endosulfan (alpha),Endrin,Oxygen saturation,beta-Hexaxchlorocyclohexane,Aldrin,"p,p-DDD",Total hardness,Endosulfan (beta),Heptachloroepoxide,Total dissolved salts,Methoxychlor,Simazine,Alachlor,Metolachlor,Total nitrogen,Carbonates,Tetrachloromethane,Sulfides,Selenium,Barium,Total organic carbon,Cyanides,Acenaphthene,Isodrin,Acenaphthylene,Benzo(a)anthracene,Pyrene,Hexachlorobenzene,"1,2,4-Trichlorobenzene",Pentachlorobenzene,Naphthalene,Phenanthrene,"1,2,3-Trichlorobenzene",Anthracene,Chrysene,Aluminium,Dissolved organic carbon,Dissolved silicates,Organic nitrogen,Fluorene,PCB 118,Trifluralin,Inorganic nitrogen,Boron,Berilium,Chlorodinine,AGOC-3A,Methylosmoline,Total dissolved phosphorus
,5.5,1.66,0.04,1.44,0.19,0.24,40.2,6.3,82,26,66,106,0.26,0.09,30,16,41,14,3.16,,,,6.6,13.2,8.8,,0.01,,2.08,16,0.19,0.09,0.03,250,0.08,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7.1,0.71,0.01,1.5,0.01,0.03,18,3,59.5,19.2,38.2,56.1,0.6,0.48,28,23,27,13,2.64,,,,3.8,20,7.9,,0.01,,2.03,2.5,0.64,0.01,0.03,174,0.17,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.5,7.4,0.24,0.01,1.45,0.06,0.09,19.4,2.8,59.5,19.2,34.4,60.4,0.59,0.02,12,14,9,16,25.5,,,,3.2,22,5,,0.02,,2,1.7,1.4,0.16,0.05,151,0.14,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7.8,0.24,0.02,1.36,0.06,0.09,27.8,4,59.5,14.3,27.5,52.6,0.58,0.04,16,10,11,31,24.3,,,,3.5,20,5.6,,0.02,,2,0.54,0.49,0.11,0.06,151,0.23,,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.9,0.27,0.03,2.02,0.03,0.06,40.2,4.8,75.3,17,62,77.4,0.4,0.06,28,16,12,18,8.14,,,,3.1,18,4.7,,0.01,,2.11,2.2,1.3,0.1,0.04,185,0.06,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.2,0.2,0.05,1.77,0.01,0.02,41.6,5,79.3,28.6,41.3,107.2,0.38,0.05,26,13,15,13,2.51,,,,2.5,15,4.1,,0.01,,2.09,0.27,0.22,0.2,0.04,244,0,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.5,6.8,0.12,0.01,0.68,0.03,0.07,6.7,3,54,12,23.4,51.2,0.39,0.04,158,14,6,28,3.65,,,,3,10,3.2,,0.02,,2,1.7,0.01,0.05,0.01,159,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.9,2.94,0.02,0.15,0.3,0.68,45.98,7.38,54,12.6,69.5,67.3,1.93,0.31,235,18.3,14.3,30,3.1,,,,4.3,15.6,4.3,,0.01,,2.11,0.64,0.38,0.18,0.02,146,0.07,0.2,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.5,6.4,0.16,0.02,0.94,0.08,0.13,14.22,4.23,55,12,25.5,53.5,0.41,0.03,22,13.4,14.6,61,4.1,,,,3.1,21,3.8,,0.01,,2.1,0.54,0.01,0.03,0.01,152,0.1,0.15,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.5,0.23,0.07,0.97,0.06,0.12,43.97,6.1,59,15.6,58.1,73,0.94,0.17,65,12.7,13.6,38,5.7,,,,4.5,20,4.5,,0.01,,2.09,0.24,0.006,0.04,0.04,171,0.07,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.7,0.29,0.02,0.81,0.06,0.11,41.09,7.08,58,21.6,44,117,0.73,0.1,41,8.7,22.9,12,5,,,,3.7,18,4.6,,0.01,,2.1,0.24,0.01,0.15,0.03,183,0.05,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6.5,0.23,0.02,1.13,0.09,0.12,14.62,4.12,58,12,34,57.4,1.64,0.09,69,8.4,13.1,6.5,3.3,,,,3.2,21,3,,0.02,,2.09,0.31,0.01,0.01,0.01,152,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6.3,0.28,0.02,1,0.08,0.12,14.9,4.15,57,12,33.3,51,1.1,0.05,73,9.5,16.4,9.5,3.6,,,,3.1,21.2,3,,0.02,,2.07,1.6,0.02,0.02,0.02,146,0.12,0.15,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6.4,0.21,0.04,2.2,0.04,0.07,10.4,3.37,58.9,18.5,34.6,58.1,3.91,0.16,52,28.08,11.23,29.2,4.74,,,,3.2,19,4.7,,,,2.41,9.2,0.26,0.01,,154,0.13,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,5.3,0.04,0.04,1.14,0.04,0.08,6.7,3.03,55.2,11.6,20.6,54.8,1.01,0.1,28,25.12,18.75,81.24,0.62,,,,3.5,12.7,5.5,,,,1.8,1.7,0.01,,,201,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.2,1.8,0.04,2.44,0.12,0.18,29.7,5.6,76,21.2,58,116,0.41,0.12,45,35.48,23.14,44.52,17.16,,,,8.3,16.6,9.8,,,,2.15,9.2,0.17,0.01,,232,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6.5,0.39,0.03,1.81,0.02,0.04,12.58,4.14,55,16.5,27.7,51.9,1.55,0.1,42,14.9,12.71,39.7,9.84,,,,2,29,4.9,,,,2.3,,,0.01,0.01,141,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6.6,0.35,0.02,1.97,0.06,0.09,12.4,3.57,66.8,14.3,27.7,54.9,1.72,0.1,37,56.3,5.53,48.36,4.16,,,,2.2,15,3.4,,,,2.25,,,0.008,0.01,141,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.2,0.35,0.01,1.5,0.04,0.07,35.92,3.8,58.9,28.4,55.4,61.1,0.5,0.06,13,76.7,5.5,38.38,0.7,,,,4,18,6.4,,,,2.43,,,0.02,0.01,180,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.8,0.45,0.02,1.51,0.03,0.06,38.7,3.7,58.9,30.7,41.6,63.8,1.07,0.09,21,35.32,11.31,11.48,4.26,,,,4,17,5.8,,,,2.25,,,,,167,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7.4,0.12,0.02,1.25,0.04,0.07,17,4.3,49,12.6,17.7,54.2,0.33,0.09,25,19.42,11.57,15.1,3.39,,,,2.2,10.2,5.1,,,,2,0.23,0.07,0.05,0.04,177,0.04,0.15,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.5,1.5,0.06,0.99,0.12,0.22,25.5,7,54,15,75.1,65.2,0.71,0.13,96,37.52,28.8,41.46,1.48,,,,8.2,14.5,8.6,,,,2.1,0.7,0.006,,0.01,177,0.12,0.25,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7,0.1,0.02,0.95,0.06,0.11,16.8,4.2,52,12,27,61,0.45,0.07,16,18.42,9.69,17.59,0.58,,,,2.9,14.2,3.2,,,,2.1,0.05,0.02,0.01,0.01,152,0.11,0.16,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.1,0.25,0.09,0.68,0.05,0.1,48.3,5.5,61,13.8,59.5,76,0.95,0.27,20,21.59,14.16,29.76,0.79,,,,5.2,17,5,,,,2.08,9.2,0.02,,0.01,159,0.08,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.5,0.23,0.04,1.06,0.07,0.11,44.8,7.2,64,19.2,47,112,0.57,0.09,25,21.59,7.63,21.03,1.98,,,,3.5,15.4,5,,,,2.1,0.17,0.006,,0.006,189,0.1,0.18,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7,0.15,0.02,0.8,0.05,0.1,23.5,4.3,51,12.6,29.1,63.5,1.31,0.2,19,26.35,15.9,19.49,1.07,,,,3.1,18.7,3.2,,,,2.04,2.2,0.24,,,146,0.08,0.12,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7.1,0.1,0.02,1,0.05,0.11,21.7,4.9,51,12.6,29.1,60.6,0.96,0.11,41,18.87,12.51,19.55,0.22,,,,3,16.2,3.2,,,,2.05,0.54,0.02,,0.01,146,0.1,0.16,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6.8,0.21,0.03,0.99,0.05,0.08,18,3.7,53.4,13.6,22,48.5,0.7,0.1,28,30.7,10.85,8.34,0.09,,,,4.3,12.8,5.2,,,,1.82,0.02,0.02,,,198,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.8,1.82,0.1,1.68,0.05,0.09,45.8,7.7,80,29,78,107,,,,,,,,,,,7.9,17.1,10.2,,,,2.34,0.92,0.01,,,250,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.2,7.2,0.21,0.02,1.25,0.06,0.09,19.8,3.6,54.4,14.9,27.5,51.2,0.75,0.08,45,37.1,12.49,5.84,0.05,,,,4.5,16,5.5,,,,2.06,0.02,0.02,,,154,0.08,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.6,0.42,0.02,1.72,0.03,0.06,52.6,8.8,58.3,21.3,68.9,86.7,,,,,,,,,,,5,22,6.8,,,,2.3,1.4,0.11,,,154,0.21,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.2,0.31,0.01,1.17,0.02,0.04,36.2,5.2,81.7,26,55.1,80.5,1.83,0.16,48,16.1,8.67,4.37,0.05,,,,5.8,28,7.3,,,,2.3,0.02,0.02,,,218,0.27,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,6.9,0.25,0.04,1.28,0.04,0.08,24.5,3.9,60.4,16.4,31.5,57.4,0.76,0.08,48,18.1,7.39,3.53,0.05,,,,2.9,28,4.7,,,,2.17,0.95,0.7,,,179,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.5,7,0.28,0.02,1.35,0.03,0.06,22.4,4,58.3,21,34.4,52.1,0.73,0.09,80,14.47,8.28,6.86,0.05,,,,2.7,29,5.1,,,,2.27,16,0.11,,,165,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6.9,0.26,0.04,1.12,0.04,0.06,23,4.1,57.9,15.5,25.8,38.9,0.3,0.1,60,13.24,1.52,27.77,0.03,,,,5,,7.5,,,,,0.04,,0.03,0.04,195.2,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.4,1.9,0.09,1.54,0.04,0.06,33.9,5.2,75,27,57,113,0.8,0.15,111,20.54,8.56,5.67,1.15,,,,6,,9.6,,,,,0.02,0.02,0.03,0.02,323,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.72,0.48,162,8.32,31.85,32.14,10,,,,,,,,,,,1.4,0.04,0.03,0.01,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.14,54,16.81,15.66,11.45,0.05,,,,,,,,,,,16,2.1,0.05,0.03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.82,0.3,0.005,3.08,0.01,,35,5.6,53.1,32.3,62.03,72.04,1.75,0.17,41,25.11,6.51,,1.24,,,,4.28,31,6.79,,,,,0.02,0.02,,0.03,123.8,0.5,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.66,0.46,0.005,2.26,0.01,,23.8,4.2,53.1,47.1,48.24,104.7,0.67,0.08,38,27.72,3.91,,0.08,,,,4.44,28,6.47,,,,,9.2,0.01,0.03,0.03,186.6,0.39,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7.59,0.29,0.005,2.56,0.01,,18.4,3.2,61.3,24.07,34.4,25.1,0.61,0.13,36,26.74,7.71,,0.42,,,,1.29,16,4.58,,,,,24,0.36,0.02,,161,0.44,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.92,0.2,0.005,2.28,0.02,,18,2,65.4,24.8,34.4,36.46,1.13,0.05,31,13.78,8.82,,,,,,3.65,15,4.74,,,,,4.3,0.06,0.03,0.01,174.4,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.8,9.64,0.34,0.005,2.32,0.01,,17,2,61.3,24.8,41.35,40.07,0.55,0.06,37,21.93,8.48,,,,,,2.89,10,3.63,,,,,0.02,0.002,0.02,0.01,149.4,0.53,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,12,0.43,0.03,1.14,0.14,,,,61.1,20.4,24.7,45.4,0.32,0.1,21,10.15,8.47,1.75,0.67,,1.65,,4.1,,6.61,,,,,0.14,0.06,0.02,0.01,219.6,0.03,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.9,1.55,0.11,8.5,0.15,0.19,37.9,6.5,75,29,64,113,0.46,0.16,26,15.03,26.38,1.61,0.82,,6.58,,5.8,,9.2,,,,,1.6,0.22,,0.05,238,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,10.3,0.36,0.005,2.76,0.08,,14,2,65.4,19.7,41.3,28.4,0.66,0.05,49,42.12,7.28,,0.42,,7.38,,2.3,15,4.9,,,,,0.01,0.002,0.02,,149.4,0.05,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,10.3,0.51,0.01,2.68,0.1,,27.6,3.4,65.4,19.7,48.2,30.3,0.89,0.05,42,8.47,9.06,,0.31,,5.93,,1.9,17,4.4,,,,,0.02,0.002,0.02,,148.8,0.03,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.66,0.1,9.8,0.17,0.21,30,5.7,95,42,52,111,,,,,,,,,,,,,4.4,,,,,,,,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.73,0.09,10.9,0.19,0.23,30,5.7,96,43,52,127,,,,,,,,,,,,,4.2,,,,,,,,,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.71,0.1,11.5,0.11,0.14,30,4.3,95,43,54,130,,,,,,,,,,,,,4.5,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11.8,0.11,0.006,2.11,0.01,0.04,,,70,33,34.1,37,,,,,,,,,,,,,,,,,,,,,,124.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12.3,0.02,0.005,3.29,0.007,0.03,,,70,40.1,40.8,87.3,,,,,,,,,,,,,,,,,,,,,,173.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7,10.7,0.61,0.07,2.39,0.03,0.05,,,44.9,44.5,34.4,20.6,,,,,,,,,,,2.6,28,7.6,,,,,,,,,174.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.5,1.45,0.02,2.4,0.02,0.06,,,81.7,44.5,103.3,46,,,,,,,,,,,6.4,36,9.8,,,,,,,,,185.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.42,0.02,2.41,0.005,0.03,,,36.8,37.2,55.1,113.4,,,,,,,,,,,5.5,26,7,,,,,,,,,273.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9,11,0.37,0.06,1.78,0.1,0.12,,,53.1,16.4,22.8,43.3,,,,,,,,,,,,,5,,,,,,,,,176.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,10.8,0.67,0.13,1.51,0.13,0.15,,,53.1,14.5,23.8,47.3,,,,,,,,,,,,,5,,,,,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,11.2,0.43,0.15,2.21,0.16,0.18,,,56.3,11.6,26.7,43.2,,,,,,,,,,,,,5,,,,,,,,,189.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,9.8,0.26,0.05,2.4,0.01,0.04,,,66.1,50.8,40.9,46.2,1.1,0.08,40,38.67,13.42,8.83,0.28,,2.02,,,,,,,,,,,,,111.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10.5,0.35,0.005,2.27,0.1,0.12,,,62.2,28.2,47.7,25.8,,,,,,,,,,,2.4,18,4.8,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,10.8,0.45,0.005,2.32,0.1,0.13,,,77.8,30.6,40.9,36,,,,,,,,,,,3.1,23,4.8,,,,,,,,,186.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10.8,0.47,0.06,2.4,0.01,0.04,,,58,34,40.5,35.2,0.95,0.07,23,32.82,8.24,5.28,0.1,,0.88,,3.9,38,8.5,,0,,,,,0.19,0.13,176.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4,10.6,0.67,0.04,1.44,0.11,0.14,,,41.78,17.46,19.26,44.7,3.01,0.2,43,58.3,15.8,13.39,0.72,,2.15,,,14.53,6.56,,0,,,0.24,0.06,0.01,0.01,164.7,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.2,1.87,0.07,9.4,0.12,0.17,50.6,9.9,102,29,85,117,0.22,0.14,37,17.97,11.74,1.91,1.41,,8.03,,5.7,13.6,7.8,,0,,,16,0.43,0.18,0.15,317,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.9,0.29,0.005,2.18,0.03,0.04,,,73.5,42.3,40.5,27.8,1.1,0.1,83,57.89,25.91,3.68,2.54,,0.19,,2.1,24,6.9,,0,,,,,0.009,,120.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,9.8,0.23,0.04,2.06,0.02,0.03,,,61.9,18.6,40.5,41.8,1.25,0.06,24,50.29,17.37,1.84,2.4,,1.75,,3.1,25,6.6,,0,,,,,0.01,0.02,146.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10.3,0.07,0.01,2.5,0.02,0.05,,,69.6,35.2,94.6,60,1,0.09,17,36.64,7.57,4.26,1.23,,2.68,,1.5,24,4.9,,0,,,,,0.01,0.01,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14.1,0.3,0.12,1.88,0.007,0.03,,,73.5,39.8,61.8,154.1,0.26,0.05,35,43.71,6.31,1.64,1.09,,1.67,,5.3,24,6,,0,,,,,0.01,0.01,197.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10.1,0.52,0.07,2.09,0.05,0.07,,,50.3,35.2,27,27,1.78,0.1,43,61.27,17.55,4.88,0.64,,3.29,,3.2,29,6.1,,0,,,,,0,0.01,78.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.74,0.1,29,22.34,6.07,0.89,0.73,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.2,0.17,0.06,1.07,0.005,0.02,,,58,26,83.5,45.1,1.45,0.11,18,36.64,7.61,1.46,0.51,,3.48,,2.6,12,5.2,,,,,,,0.1,0.01,185.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.9,0.11,0.05,1.68,0.005,0.02,,,58,47.1,75.9,101.4,0.39,0.07,24,43.71,5.09,1.32,1.5,,3.78,,4.5,33,5,,,,,,,,0.01,212.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.8,8.5,0.32,0.02,1.95,0.13,0.16,,,41.7,10.6,16.6,26.9,1.04,0.07,19,25.52,7.01,1.42,0.18,,1.64,,3.9,14.8,5.5,,,,,5.4,0.17,0.04,0.03,158.6,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8.1,0.26,0.005,1.86,0.01,0.03,,,50.3,14,37.9,32.1,0.51,0.11,35,61.27,8.61,1.67,0.67,,1.22,,3.5,49,6.1,,,,,,,0.08,0.01,159.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.5,3.2,0.09,10.8,0.14,0.18,36.1,5.8,82,27,60,113,0.3,0.09,19,10.24,15.32,2.15,1.09,,2.28,,5.4,12.8,7.2,,,,,16,0.21,,0.01,250,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.5,7.8,0.21,0.007,0.88,0.007,0.02,,,54.2,21.1,45.5,38.9,1.16,0.08,29,57.89,11.84,3.73,1.9,,3.77,,2.7,43,6.4,,,,,,,0.03,0.01,145.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
